pose_label,gesture_type,test_samples,positive_samples,imbalance_ratio,search_strategy,best_kernel,best_C,best_gamma,cv_f1_score,test_accuracy,test_precision,test_recall,test_f1_score
end,STATIC,353,25,1:14.1,static_optimized,rbf,0.1,1,0.9588553113553114,1.0,1.0,1.0,1.0
home,STATIC,353,24,1:14.7,static_optimized,rbf,0.1,1,0.9856410256410257,0.9915014164305949,1.0,0.875,0.9333333333333333
next_slide,DYNAMIC,353,32,1:11.0,imbalanced_focused,rbf,10.0,0.001,0.9539338542434518,0.9858356940509915,0.9354838709677419,0.90625,0.9206349206349206
previous_slide,DYNAMIC,353,32,1:11.0,imbalanced_focused,rbf,1.0,auto,0.9605065359477123,0.9915014164305949,0.967741935483871,0.9375,0.9523809523809523
rotate_down,DYNAMIC,353,40,1:8.8,imbalanced_focused,rbf,1.0,auto,0.9187768752986145,0.9830028328611898,0.9473684210526315,0.9,0.9230769230769231
rotate_left,DYNAMIC,353,40,1:8.8,imbalanced_focused,rbf,1.0,auto,0.9391590004198701,0.9688385269121813,0.8222222222222222,0.925,0.8705882352941177
rotate_right,DYNAMIC,353,40,1:8.8,imbalanced_focused,rbf,0.01,1,0.9550993788819877,0.9858356940509915,0.972972972972973,0.9,0.935064935064935
rotate_up,DYNAMIC,353,40,1:8.8,imbalanced_focused,rbf,1.0,auto,0.9387103749712444,0.9886685552407932,0.95,0.95,0.95
zoom_in,DYNAMIC,353,40,1:8.8,imbalanced_focused,rbf,10.0,auto,0.9693294225902921,0.9943342776203966,0.9523809523809523,1.0,0.975609756097561
zoom_out,DYNAMIC,353,40,1:8.8,imbalanced_focused,rbf,100.0,1,0.9424911610129001,0.9971671388101983,0.975609756097561,1.0,0.9876543209876543
